Technical Specification,KaleseramikWall Tiles,RelatedStandards
Water Absorption (%),ave.16%,ISO 10545-3
Thickness < 7.5 mm,850 N,
Thickness < 7.5 mm,,
Linear Thermal Expansion Coefficient (1o0Â°C),6x10-6 /C,ISO 10545-8
Resistance toThermal Shock,Affirmative,ISO 10545-9
Moisture expansion (mm/m),Affirmative,ISO 10545-10
CrazingResistancefor GlazedTiles,Affirmative,ISO 10545-11
Resistance to Low Concentrations of Acids and Alkalis,Affirmative,ISO 10545-13
Resistance to High Concentrations of Acids and Alkalis,Affirmative,ISO 10545-13
Resistance to Household Chemicals and SwimmingPool Salts (glazed&unglazed),Affirmative,ISO 10545-13
ResistancetoStain,Affirmative,ISO 10545-14
